Boktor Nederland,,,,
,,,,
,,,,
KENMERKGROEP,KENMERK,KENMERKTOESTANDEN,VERTALING (EVENTUEEL),AFBEELDING
Dekschild,Aantal lengteribbels,0,,ds_lengteribbels_0.jpg
Dekschild,Aantal lengteribbels,1,,ds_lengteribbels_1.jpg
Dekschild,Aantal lengteribbels,2,,ds_lengteribbels_2.jpg
Dekschild,Aantal lengteribbels,3,,ds_lengteribbels_3.jpg
Dekschild,Aantal lengteribbels,4,,ds_lengteribbels_4.jpg
Dekschild,Basiskleur dekschild,blauw,,dekschildblauw.jpg
Dekschild,Basiskleur dekschild,bruin,,dekschildbruin.jpg
Dekschild,Basiskleur dekschild,geel,,dekschildgeel.jpg
Dekschild,Basiskleur dekschild,grijs,,dekschildgrijs.jpg
Dekschild,Basiskleur dekschild,groen,,dekschildgroen.jpg
Dekschild,Basiskleur dekschild,oranje,,dekschildoranje.jpg
Dekschild,Basiskleur dekschild,rood,,dekschildrood.jpg
Dekschild,Basiskleur dekschild,schorskleur,,dekschildschorskleur.jpg
Dekschild,Basiskleur dekschild,wit,,dekschildwit.jpg
Dekschild,Basiskleur dekschild,zwart,,dekschildzwart.jpg
Dekschild,Dekking achterlijf,geheel,,d_achterlijf_geheel.jpg
Dekschild,Dekking achterlijf,helft,,d_achterlijf_1_2.jpg
Dekschild,Dekking achterlijf,minder dan de helft,,d_achterlijf_minder_dan_1_2.jpg
Dekschild,Dekking achterlijf,vier-vijfde,,d_achterlijf_4_5.jpg
Dekschild,Patroon dekschild,egaal,,dekschildegaal.jpg
Dekschild,Patroon dekschild,gebandeerd,,dekschildgebandeerd.jpg
Dekschild,Patroon dekschild,gespikkeld,,dekschildgespikkeld.jpg
Dekschild,Patroon dekschild,gevlekt,,dekschildgevlekt.jpg
Dekschild,Patroon dekschild,schorspatroon,,dekschildschorspatroon.jpg
Dekschild,Patroon dekschild,tweekleurig,,dekschildtweekleurig.jpg
Dekschild,Patroon dekschild,wespenpatroon,,dekschildwespenpatroon.jpg
Halsschild,Beharing halsschild,behaard,,hs_beharing_behaard.jpg
Halsschild,Beharing halsschild,dun behaard,,hs_beharing_dun_behaard.jpg
Halsschild,Beharing halsschild,kaal,,hs_beharing_kaal.jpg
Halsschild,Glans,glimmend,,hs_glans_glimmend.jpg
Halsschild,Glans,mat,,hs_glans_mat.jpg
Halsschild,Vorm halsschild,anders,,hschild_anders.jpg
Halsschild,Vorm halsschild,cilindrisch,,hschild_cilindrisch.jpg
Halsschild,Vorm halsschild,klokvormig,,hschild_klokvormig.jpg
Halsschild,Vorm halsschild,klokvormig met kraag,,hschild_klokvormig met kraag.jpg
Halsschild,Zijrand,gezaagd,,hs_zijrand_gezaagd.jpg
Halsschild,Zijrand,glad,,hs_zijrand_glad.jpg
Halsschild,Zijrand,met drie zijdoorns,,hs_zijrand_3_zijdoorns.jpg
Halsschild,Zijrand,met een zijdoorn,,hs_zijrand_1_zijdoorn.jpg
Sprieten,Lengte derde sprietlid,niet zeer lang,,derdesprietlidniet zeer lang.jpg
Sprieten,Lengte derde sprietlid,zeer lang,,derdesprietlidzeer lang.jpg
Sprieten,Sprietkleur,tweekleurig,,sprietkleurtweekleurig.jpg
Sprieten,Sprietkleur,vrijwel uniform,,sprietkleur(vrijwel) uniform.jpg
Sprieten,Totale sprietlengte,kort,,sprietlengtekort.jpg.jpg
Sprieten,Totale sprietlengte,lang,,totale_sprietlengte_lang_(036).jpg
Sprieten,Totale sprietlengte,middellang,,totale_sprietlengte_middellang_(035).jpg
Sprieten,Totale sprietlengte,zeer kort,,totale_sprietlengte_zeer_kort_(033).jpg
Sprieten,Totale sprietlengte,zeer lang,,totale_sprietlengte_zeer_lang_(037).jpg
Poten,Pootkleur,vrijwel uniform,,pootkleur(vrijwel) uniform.jpg
Poten,Pootkleur,meerkleurig,,pootkleurmeerkleurig.jpg
