Boktor Nederland,,,,KENMERK,Lengte (mm),Basiskleur dekschild,Patroon dekschild,Aantal lengteribbels,Dekking achterlijf,Beharing halsschild,Glans,Vorm halsschild,Zijrand,Totale sprietlengte,Lengte derde sprietlid,Sprietkleur,Pootkleur,foto id beeldbank,sekse op foto,nsrpage nieuw,naam SCI,naam NL,fotograaf,bronvermelding
7,Arhopalus rusticus,beide,,8,10-30,zwart; bruin,egaal,2; 3,geheel,dun behaard,mat,anders,glad,kort; middellang,niet zeer lang,vrijwel uniform,vrijwel uniform,http://images.ncbnaturalis.nl/comping/132749.jpg,female,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRPNBN,Arhopalus rusticus,Bruine grootoogboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
8,Arhopalus ferus,beide,,7;6,9-27,zwart; bruin,egaal,2; 3,geheel,dun behaard,mat,anders,glad,kort; middellang,niet zeer lang,vrijwel uniform,vrijwel uniform,http://images.ncbnaturalis.nl/comping/132748.jpg,female,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRPMFG,Arhopalus ferus,Zwarte grootoogboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
9,Tetropium castaneum,beide,,10;6,9-19,zwart; bruin,egaal,2; 3,geheel,dun behaard,glimmend,anders,glad,kort; middellang,niet zeer lang,vrijwel uniform,vrijwel uniform; meerkleurig,http://images.ncbnaturalis.nl/comping/132844.jpg,female,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRTPWV,Tetropium castaneum,Gewone dubbeloogboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
10,Tetropium fuscum,beide,,9;6,8-17,bruin; geel,egaal,2; 3,geheel,dun behaard,mat,anders,glad,kort; middellang,niet zeer lang,vrijwel uniform,vrijwel uniform; meerkleurig,http://images.ncbnaturalis.nl/comping/132846.jpg,male,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRTQXO,Tetropium fuscum,Doffe dubbeloogboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
