Dierenzoeker,,,,KENMERK,lijkt op,leefgebied,seizoen,grootte,kleur,patroon,vorm,huid,ogen,spriet,bek,aantal poten,soort poten,vleugels,achterlijf,gedrag,BEGINLETTER,naam SCI,naam NL,thumbnail,illustratie soortpagina
5,Buizerd,,,Torenvalk,vogel,in boom; op de grond; ergens op; in de lucht,lente; zomer; herfst; winter,kat,zwart; bruin; wit; geel,effen; gestreept; gevlekt,dik,veren,met pupil,niks,snavel kort; snavel krom; snavel dik,2,nagels; grijppoten,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; loopt; vliegt,B,Buteo buteo,Buizerd,http://images.ncbnaturalis.nl/80x80/194848.jpg,http://images.ncbnaturalis.nl/280x190/194969.jpg
6,Canadese gans,,,Grauwe gans; Nijlgans,vogel,op de grond; water; in de lucht,lente; zomer; herfst; winter,groter,zwart; bruin; wit,effen; gevlekt,dik,veren,geen pupil,niks,snavel kort; snavel dik,2,nagels; zwemvliezen; plat,met veren; gekleurd; gevlekt,staart kort,zwemt; loopt; zit stil; geluid; vliegt,C; G,Branta canadensis,Canadese gans,http://images.ncbnaturalis.nl/80x80/194849.jpg,http://images.ncbnaturalis.nl/280x190/194970.jpg
7,Ekster,,,Kauw; Zwarte kraai,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,duif,zwart; wit,gevlekt,dun,veren,geen pupil,niks,snavel kort; snavel dik,2,nagels,met veren; gekleurd; gevlekt,staart lang,loopt; zit stil; geluid; vliegt; springt; rent,E,Pica pica,Ekster,http://images.ncbnaturalis.nl/80x80/194856.jpg,http://images.ncbnaturalis.nl/280x190/194977.jpg
8,Fazant,,,,vogel,op de grond,lente; zomer; herfst; winter,groter,zwart; bruin; goud; groen; rood,gevlekt,dik; lang,veren,met pupil,kuif,snavel kort; snavel dik,2,nagels,met veren; gekleurd; gevlekt,staart lang,loopt; zit stil; geluid; vliegt; springt; rent,F,Phasianus colchicus,Fazant,http://images.ncbnaturalis.nl/80x80/194857.jpg,http://images.ncbnaturalis.nl/280x190/194978.jpg
9,Fuut,,,Waterhoen; Meerkoet,vogel,water; in de lucht,lente; zomer; herfst; winter,kat,zwart; bruin; oranje; wit,effen,dik,veren,geen pupil,kuif; bult; niks,snavel lang; snavel dun,2,nagels; plat,met veren; gekleurd; gevlekt,staart kort,zwemt; loopt; zit stil; geluid; vliegt,F,Podiceps cristatus,Fuut,http://images.ncbnaturalis.nl/80x80/194859.jpg,http://images.ncbnaturalis.nl/280x190/194980.jpg
10,Gaai,,,Houtduif,vogel,in boom; op de grond; ergens op; in de lucht,lente; zomer; herfst; winter,duif,zwart; bruin; roze; wit; blauw; grijs,gevlekt,dik,veren,met pupil,kuif; niks,snavel kort; snavel dik,2,nagels,met veren; gekleurd; gevlekt,staart lang,loopt; zit stil; geluid; vliegt; springt,G,Garrulus glandarius,Gaai,http://images.ncbnaturalis.nl/80x80/194860.jpg,http://images.ncbnaturalis.nl/280x190/194981.jpg
11,Gierzwaluw,,,Boerenzwaluw,vogel,in de lucht,lente; zomer,muis,zwart; bruin; wit,effen,dun,veren,geen pupil,niks,snavel kort,2,nagels; grijppoten,met veren; gekleurd,staart kort,geluid; vliegt,G; Z,Apus apus,Gierzwaluw,http://images.ncbnaturalis.nl/80x80/194873.jpg,http://images.ncbnaturalis.nl/280x190/194994.jpg
12,Groenling,,,Putter; Vink; Huismus; Ringmus,vogel,op de grond; in boom; in struik; in de lucht,lente; zomer; herfst; winter,muis,groen; geel; wit; grijs; bruin,effen; gestreept,bolletje,veren,geen pupil,niks,snavel kort; snavel dik,2,nagels,met veren; gekleurd,staart kort,zit stil; geluid; loopt; vliegt; springt,G,Carduelis chloris,Groenling,http://images.ncbnaturalis.nl/80x80/194874.jpg,http://images.ncbnaturalis.nl/280x190/194995.jpg
13,Halsbandparkiet,,,,vogel,in boom; in de lucht,lente; zomer; herfst; winter,duif,groen; rood; zwart; grijs,effen,dun; lang,veren,met pupil,niks,snavel kort; snavel krom; snavel dik,2,nagels; grijppoten,met veren; gekleurd,staart lang,zit stil; geluid; vliegt; hangt,H; P,Psittacula krameri,Halsbandparkiet,http://images.ncbnaturalis.nl/80x80/194880.jpg,http://images.ncbnaturalis.nl/280x190/195001.jpg
14,Heggenmus,,,Huismus; Ringmus; Winterkoning,vogel,op de grond; in struik; in de lucht,lente; zomer; herfst; winter,muis,bruin; grijs; roze,gevlekt; gestreept,bolletje,veren,met pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; vliegt; loopt; springt,H; M,Prunella modularis,Heggenmus,http://images.ncbnaturalis.nl/80x80/194881.jpg,http://images.ncbnaturalis.nl/280x190/195002.jpg
15,Houtduif,,,Turkse tortel; Stadsduif; Gaai,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,duif,grijs; roze; wit; groen,effen; gevlekt,dik,veren,met pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd,staart kort,zit stil; geluid; loopt; vliegt,H; D,Columba palumbus,Houtduif,http://images.ncbnaturalis.nl/80x80/194882.jpg,http://images.ncbnaturalis.nl/280x190/195003.jpg
16,Huismus,,,Ringmus; Heggenmus; Vink,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,muis,zwart; grijs; bruin; wit,gevlekt; gestreept,bolletje,veren,geen pupil,niks,snavel kort; snavel dik,2,nagels,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; loopt; vliegt; springt,H; M,Passer domesticus,Huismus,http://images.ncbnaturalis.nl/80x80/194884.jpg,http://images.ncbnaturalis.nl/280x190/195005.jpg
17,Kauw,,,Ekster; Zwarte kraai,vogel,in boom; op de grond; ergens op; in de lucht,lente; zomer; herfst; winter,duif,zwart; grijs; wit,effen,dik,veren,met pupil,niks,snavel kort; snavel dik,2,nagels,met veren; gekleurd,staart kort,zit stil; geluid; loopt; vliegt; springt,K,Corvus monedula,Kauw,http://images.ncbnaturalis.nl/80x80/194889.jpg,http://images.ncbnaturalis.nl/280x190/195010.jpg
18,Kleine mantelmeeuw,,,Kokmeeuw; Zilvermeeuw,vogel,op de grond; ergens op; water; in de lucht,lente; zomer; herfst,kat,zwart; wit; grijs; bruin; geel,effen,dik,veren,met pupil,niks,snavel lang; snavel dik,2,nagels; zwemvliezen; plat,met veren; gekleurd; gevlekt,staart kort,zwemt; loopt; zit stil; geluid; vliegt,K; M,Larus fuscus,Kleine mantelmeeuw,http://images.ncbnaturalis.nl/80x80/194893.jpg,http://images.ncbnaturalis.nl/280x190/195014.jpg
19,Knobbelzwaan,,,,vogel,op de grond; water; in de lucht,lente; zomer; herfst; winter,groter,bruin; wit; oranje,effen,dik,veren,geen pupil,bult; niks,snavel kort; snavel plat,2,nagels; zwemvliezen; plat,met veren; gekleurd,staart kort,zwemt; loopt; zit stil; geluid; vliegt,K; Z,Cygnus olor,Knobbelzwaan,http://images.ncbnaturalis.nl/80x80/194898.jpg,http://images.ncbnaturalis.nl/280x190/195019.jpg
20,Kokmeeuw,,,Kleine mantelmeeuw; Zilvermeeuw,vogel,op de grond; ergens op; water; in de lucht,lente; zomer; herfst; winter,duif,grijs; wit; rood; oranje,effen,dik,veren,geen pupil,niks,snavel lang; snavel dun,2,nagels; zwemvliezen; plat,met veren; gekleurd,staart kort,zwemt; loopt; zit stil; geluid; vliegt,K; M,Larus ridibundus,Kokmeeuw,http://images.ncbnaturalis.nl/80x80/194900.jpg,http://images.ncbnaturalis.nl/280x190/195021.jpg
21,Koolmees,,,Pimpelmees; Staartmees,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,muis,zwart; wit; geel; groen,gevlekt,bolletje,veren,geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; vliegt; springt; hangt,K; M,Parus major,Koolmees,http://images.ncbnaturalis.nl/80x80/194902.jpg,http://images.ncbnaturalis.nl/280x190/195023.jpg
22,Meerkoet,,,Aalscholver; Waterhoen,vogel,op de grond; water; in de lucht,lente; zomer; herfst; winter,duif,zwart; wit; grijs; groen,effen,dik,veren,geen pupil,niks,snavel kort; snavel dik,2,nagels; lange tenen; plat,met veren; gekleurd,staart kort,zwemt; loopt; zit stil; geluid; schuilt; vliegt; rent,M,Fulica atra,Meerkoet,http://images.ncbnaturalis.nl/80x80/194909.jpg,http://images.ncbnaturalis.nl/280x190/195030.jpg
23,Merel,,,Zanglijster,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,merel,zwart; geel,effen,dik,veren,geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd,staart lang,zit stil; geluid; loopt; vliegt; springt,M,Turdus merula,Merel,http://images.ncbnaturalis.nl/80x80/194910.jpg,http://images.ncbnaturalis.nl/280x190/195031.jpg
24,Nijlgans,,,Canadese gans; Grauwe gans; Bergeend; Wilde eend,vogel,op de grond; ergens op; water; in de lucht,lente; zomer; herfst; winter,groter,bruin; grijs; roze; wit; beige; geel,effen; gevlekt,dik,veren,met pupil,niks,snavel kort; snavel dik,2,nagels; zwemvliezen; plat,met veren; gekleurd; gevlekt,staart kort,zwemt; loopt; zit stil; geluid; vliegt,N; G,Alopochen aegyptiacus,Nijlgans,http://images.ncbnaturalis.nl/80x80/194915.jpg,http://images.ncbnaturalis.nl/280x190/195036.jpg
25,Pimpelmees,,,Koolmees; Staartmees,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,muis,zwart; wit; blauw; geel,gevlekt,bolletje,veren,geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; vliegt; springt; hangt,P; M,Parus caeruleus,Pimpelmees,http://images.ncbnaturalis.nl/80x80/194919.jpg,http://images.ncbnaturalis.nl/280x190/195040.jpg
26,Putter,,,Vink; Groenling,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,muis,zwart; wit; rood; geel; bruin; beige,effen; gevlekt,bolletje,veren,geen pupil,niks,snavel kort; snavel dik,2,nagels,met veren; gekleurd,staart kort,zit stil; geluid; loopt; vliegt; springt,P,Carduelis carduelis,Putter,http://images.ncbnaturalis.nl/80x80/194922.jpg,http://images.ncbnaturalis.nl/280x190/195043.jpg
27,Ringmus,,,Huismus; Heggenmus; Vink,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,muis,zwart; grijs; wit; bruin,gevlekt; gestreept,bolletje,veren,geen pupil,niks,snavel kort; snavel dik,2,nagels,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; loopt; vliegt; springt,R; M,Passer montanus,Ringmus,http://images.ncbnaturalis.nl/80x80/194923.jpg,http://images.ncbnaturalis.nl/280x190/195044.jpg
28,Roodborst,,,Vink; Winterkoning; Heggenmus,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,muis,bruin; grijs; oranje; rood,gevlekt,bolletje,veren,geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd,staart kort,zit stil; geluid; vliegt; loopt; springt,R; B,Erithacus rubecula,Roodborst,http://images.ncbnaturalis.nl/80x80/194926.jpg,http://images.ncbnaturalis.nl/280x190/195047.jpg
29,Scholekster,,,Ekster,vogel,op de grond; ergens op; water; in de lucht,lente; zomer; herfst; winter,duif,zwart; wit; oranje; roze,gevlekt,dik,veren,met pupil,niks,snavel lang; snavel dun,2,nagels; lang en dun,met veren; gekleurd,staart kort,zit stil; geluid; loopt; vliegt; rent,S; E,Haematopus ostralegus,Scholekster,http://images.ncbnaturalis.nl/80x80/194929.jpg,http://images.ncbnaturalis.nl/280x190/195050.jpg
30,Spreeuw,,,Merel,vogel,in boom; in struik; op de grond; ergens op; in de lucht,lente; zomer; herfst; winter,merel,zwart; bruin; wit; geel,effen; gevlekt,bolletje,veren,met pupil; geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; loopt; schuilt; vliegt; springt,S,Sturnus vulgaris,Spreeuw,http://images.ncbnaturalis.nl/80x80/194933.jpg,http://images.ncbnaturalis.nl/280x190/195054.jpg
31,Staartmees,,,Pimpelmees; Koolmees,vogel,in boom; in struik; in de lucht,lente; zomer; herfst; winter,muis,zwart; wit; roze,gevlekt,bolletje; dun; lang,veren,geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd; gevlekt,staart lang,zit stil; geluid; vliegt; springt; hangt,S; M,Aegithalos caudatus,Staartmees,http://images.ncbnaturalis.nl/80x80/194934.jpg,http://images.ncbnaturalis.nl/280x190/195055.jpg
32,Turkse tortel,,,Stadsduif,vogel,in boom; in struik; op de grond; ergens op; in de lucht,lente; zomer; herfst; winter,duif,bruin; zwart; grijs; beige,effen; gestreept,dun,veren,geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd,staart lang,zit stil; geluid; loopt; vliegt,T,Streptopelia decaocto,Turkse tortel,http://images.ncbnaturalis.nl/80x80/194939.jpg,http://images.ncbnaturalis.nl/280x190/195060.jpg
33,Vink,,,Putter; Groenling; Ringmus; Huismus,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,muis,zwart; bruin; grijs; roze,gestreept; gevlekt,bolletje,veren,geen pupil,niks,snavel kort; snavel dik,2,nagels,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; loopt; vliegt; springt,V,Fringilla coelebs,Vink,http://images.ncbnaturalis.nl/80x80/194941.jpg,http://images.ncbnaturalis.nl/280x190/195062.jpg
34,Waterhoen,,,Meerkoet,vogel,op de grond; water; in de lucht,lente; zomer; herfst; winter,duif,zwart; bruin; grijs; rood; groen; geel,effen; gestreept,dik,veren,geen pupil,niks,snavel kort; snavel dik,2,nagels; lange tenen,met veren; gekleurd,staart kort,zwemt; loopt; zit stil; geluid; schuilt; vliegt; rent,W; H,Gallinula chloropus,Waterhoen,http://images.ncbnaturalis.nl/80x80/194943.jpg,http://images.ncbnaturalis.nl/280x190/195065.jpg
35,Wilde eend,,,Nijlgans; Bergeend,vogel,op de grond; water; in de lucht,lente; zomer; herfst; winter,kat,bruin; grijs; groen; wit; oranje,effen; gestreept,dik,veren,geen pupil,niks,snavel kort; snavel plat,2,nagels; zwemvliezen; plat,met veren; gekleurd,staart kort,zwemt; loopt; zit stil; geluid; vliegt,W; E,Anas platyrhynchos,Wilde eend,http://images.ncbnaturalis.nl/80x80/194945.jpg,http://images.ncbnaturalis.nl/280x190/195067.jpg
36,Winterkoning,,,Heggenmus; Boomkruiper; Roodborst,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,muis,bruin; beige,effen; gevlekt; gestreept,bolletje,veren,geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; schuilt; vliegt; springt,W,Troglodytes troglodytes,Winterkoning,http://images.ncbnaturalis.nl/80x80/194946.jpg,http://images.ncbnaturalis.nl/280x190/195068.jpg
37,Zanglijster,,,Merel,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,merel,zwart; bruin; beige; goud; roze,gevlekt,dik,veren,geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; loopt; vliegt; springt,Z; L,Turdus philomelos,Zanglijster,http://images.ncbnaturalis.nl/80x80/196764.jpg,http://images.ncbnaturalis.nl/280x190/196765.jpg
38,Zilvermeeuw,,,Kokmeeuw; Kleine mantelmeeuw,vogel,op de grond; water; ergens op; in de lucht,lente; zomer; herfst; winter,kat,bruin; grijs; wit; roze,effen,dik,veren,met pupil,niks,snavel lang; snavel dik,2,nagels; zwemvliezen; plat,met veren; gekleurd; gevlekt,staart kort,zwemt; loopt; zit stil; geluid; vliegt,Z; M,Larus argentatus,Zilvermeeuw,http://images.ncbnaturalis.nl/80x80/196766.jpg,http://images.ncbnaturalis.nl/280x190/196767.jpg
39,Zwarte kraai,,,Kauw; Ekster,vogel,in boom; op de grond; in struik; ergens op; in de lucht,lente; zomer; herfst; winter,kat,zwart,effen,dik,veren,geen pupil,niks,snavel kort; snavel dik,2,nagels,met veren; gekleurd,staart kort,zit stil; geluid; loopt; vliegt; springt,Z; K,Corvus corone,Zwarte kraai,http://images.ncbnaturalis.nl/80x80/196768.jpg,http://images.ncbnaturalis.nl/280x190/196769.jpg
40,Zwartkop,,,,vogel,in boom; in struik; in de lucht,lente; zomer; herfst; winter,muis,zwart; grijs,effen; gevlekt,dun,veren,geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd,staart kort,zit stil; geluid; loopt; vliegt; springt,Z,Sylvia atricapilla,Zwartkop,http://images.ncbnaturalis.nl/80x80/196772.jpg,http://images.ncbnaturalis.nl/280x190/196773.jpg
41,Stadsduif,,,Houtduif; Turkse tortel,vogel,op de grond; ergens op; in de lucht,lente; zomer; herfst; winter,duif,zwart; grijs; bruin; wit; beige,effen; gevlekt,dik,veren,met pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; loopt; schuilt; vliegt,S; D,Columba livia domestica,Stadsduif,http://images.ncbnaturalis.nl/80x80/196758.jpg,http://images.ncbnaturalis.nl/280x190/196759.jpg
42,Boerenzwaluw,,,Gierzwaluw,vogel,in de lucht; ergens op,lente; zomer; herfst,muis,zwart; blauw; rood; wit,effen,dun,veren,geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd,staart lang,zit stil; geluid; vliegt,B; Z,Hirundo rustica,Boerenzwaluw,http://images.ncbnaturalis.nl/80x80/196750.jpg,http://images.ncbnaturalis.nl/280x190/196751.jpg
43,Grauwe gans,,,Canadese gans; Nijlgans; Wilde eend,vogel,op de grond; water; in de lucht,lente; zomer; herfst; winter,groter,grijs; roze; oranje,effen; gevlekt,dik,veren,geen pupil,niks,snavel kort; snavel dik,2,nagels; zwemvliezen; plat,met veren; gekleurd; gevlekt,staart kort,zwemt; loopt; zit stil; geluid; vliegt,G,Anser anser,Grauwe gans,http://images.ncbnaturalis.nl/80x80/196752.jpg,http://images.ncbnaturalis.nl/280x190/196753.jpg
44,Ooievaar,,,Blauwe reiger,vogel,op de grond; ergens op; in de lucht,lente; zomer; herfst,groter,zwart; wit; rood,effen; gevlekt,dun; lang,veren,geen pupil,niks,snavel lang; snavel dun,2,nagels; lang en dun,met veren; gekleurd,staart kort,zit stil; geluid; loopt; vliegt,O,Ciconia ciconia,Ooievaar,http://images.ncbnaturalis.nl/80x80/196756.jpg,http://images.ncbnaturalis.nl/280x190/196757.jpg
45,Witte kwikstaart,,,,vogel,op de grond; in de lucht,lente; zomer; herfst,muis,zwart; grijs; wit,gevlekt,dun; lang,veren,geen pupil,niks,snavel kort; snavel dun,2,nagels,met veren; gekleurd; gevlekt,staart lang,loopt; zit stil; geluid; vliegt; springt; rent,W; K,Motacilla alba,Witte kwikstaart,http://images.ncbnaturalis.nl/80x80/196762.jpg,http://images.ncbnaturalis.nl/280x190/196763.jpg
46,Torenvalk,,,Buizerd,vogel,in boom; op de grond; ergens op; in de lucht,lente; zomer; herfst; winter,merel; duif,zwart; bruin; grijs; geel,gevlekt; gestreept,dun,veren,met pupil,niks,snavel kort; snavel krom; snavel dik,2,nagels; grijppoten,met veren; gekleurd; gevlekt,staart lang,zit stil; geluid; loopt; vliegt,T; V,Falco tinnunculus,Torenvalk,http://images.ncbnaturalis.nl/80x80/196760.jpg,http://images.ncbnaturalis.nl/280x190/196761.jpg
47,Aardkruiper,,,Gewone duizendpoot;Gewone platrug;gewone miljoenpoot,kriebeldier,in de grond;op de grond;dood blad;schuilplek,winter;lente;zomer;herfst,huissleutel,geel;oranje;bruin,effen,segmenten;lang,glad,puntjes;geen ogen,spriet lang,twee kaken,10+,lang en dun;met haakjes,geen,twee draden;afgerond,loopt; kruipt; rent; zit stil,A; K,Geophilus carpophagus,Aardkruiper,http://images.ncbnaturalis.nl/80x80/194833.jpg,http://images.ncbnaturalis.nl/280x190/194954.jpg
48,Gewone duizendpoot,,,Aardkruiper;Gewone platrug;gewone miljoenpoot,kriebeldier,in de grond;op de grond;dood blad;schuilplek,winter;lente;zomer;herfst,euro;huissleutel,rood;bruin,effen,segmenten;lang;dun,glad;glanzend,puntjes;geen ogen,spriet lang,twee kaken,10+,lang en dun;met haakjes,geen,twee draden;afgerond,loopt; kruipt; rent; zit stil,G; D,Lithobius forficatus,Gewone duizendpoot,http://images.ncbnaturalis.nl/80x80/194863.jpg,http://images.ncbnaturalis.nl/280x190/194984.jpg
49,Gewone miljoenpoot ,,,gewone platrug;aardkruiper;gewone duizendpoot;gewone regenworm,kriebeldier,in de grond;dood blad;op de grond;schuilplek,winter;lente;zomer;herfst,euro;huissleutel,zwart;bruin;rood; geel,effen;gestreept,lang; dun;segmenten,glad;glanzend,geen ogen;puntjes,spriet kort,geen bek;mond,10+,met haakjes;lang en dun,geen,afgerond,kruipt; loopt; schuilt; rolt op,G; M,Schizophyllum sabulosum,Gewone miljoenpoot ,http://images.ncbnaturalis.nl/80x80/194866.jpg,http://images.ncbnaturalis.nl/280x190/194987.jpg
50,Gewone platrug,,,gewone miljoenpoot;aardkruiper;gewone duizendpoot;gewone oprolpissebed,kriebeldier,in de grond;dood blad;op de grond;schuilplek,winter;lente;zomer;herfst,euro,bruin;grijs,effen,lang; dun;segmenten,ruw,geen ogen;puntjes,spriet kort,geen bek;mond,10+,met haakjes;lang en dun,geen,afgerond;puntig,kruipt; loopt; schuilt; rolt op,G; P,Polydesmus angustus,Gewone platrug,http://images.ncbnaturalis.nl/80x80/194868.jpg,http://images.ncbnaturalis.nl/280x190/194989.jpg
51,Gewone oprolpissebed,,,Ruwe pissebed;kelderpissebed;gewone platrug,kriebeldier,in de grond;dood blad;op de grond;schuilplek,winter;lente;zomer;herfst,pinda,grijs;blauw;geel,effen;gevlekt,segmenten;bolletje,glad;ruw,puntjes;geen ogen,spriet lang,geen bek;mond,10+,met haakjes;lang en dun,geen,afgerond,kruipt; loopt; schuilt; rolt op,G; O; P,Armadillidium vulgare,Gewone oprolpissebed,http://images.ncbnaturalis.nl/80x80/194867.jpg,http://images.ncbnaturalis.nl/280x190/194988.jpg
52,Kelderpissebed,,,ruwe pissebed;gewone oprolpissebed;zwartkoppissebed,kriebeldier,binnen;in de grond;dood blad;tegen muur;op de grond;schuilplek,winter;lente;zomer;herfst,pinda,grijs;blauw,effen;gevlekt,segmenten;dik,glad;ruw,puntjes;geen ogen,spriet lang,geen bek;mond,10+,met haakjes;lang en dun,geen,afgerond;twee draden,kruipt; loopt; schuilt;,K; P,Aniscus asellus,Kelderpissebed,http://images.ncbnaturalis.nl/80x80/194890.jpg,http://images.ncbnaturalis.nl/280x190/195011.jpg
53,Zwartkoppissebed,,,ruwe pissebed;gewone oprolpissebed;kelderpissebed,kriebeldier,in de grond;dood blad;op de grond;schuilplek;binnen;tegen muur,winter;lente;zomer;herfst,pinda,grijs;geel;zwart;bruin,effen;gevlekt,segmenten,glad;ruw,puntjes;geen ogen,spriet lang,geen bek;mond,10+,met haakjes;lang en dun,geen,afgerond;twee draden,kruipt; loopt; schuilt;,Z; P,Porcellio spinicornis,Zwartkoppissebed,http://images.ncbnaturalis.nl/80x80/194950.jpg,http://images.ncbnaturalis.nl/280x190/195072.jpg
54,Paars drieoogje,,,mospissebed;ruwe pissebed,kriebeldier,in de grond;dood blad;schuilplek,winter;lente;zomer;herfst,mier;pinda,bruin;roze,effen,segmenten,glad;glanzend,puntjes;geen ogen,spriet lang,geen bek;mond,10+,met haakjes;lang en dun,geen,afgerond;twee draden,kruipt; loopt; schuilt;,P; D,Trichonius pusillus,Paars drieoogje,http://images.ncbnaturalis.nl/80x80/194917.jpg,http://images.ncbnaturalis.nl/280x190/195038.jpg
55,Mospissebed,,,zwartkoppissebed;paars drieoogje;kelderpissebed,kriebeldier,in de grond;dood blad;schuilplek,winter;lente;zomer;herfst,pinda,bruin;zwart;geel,effen;gevlekt,segmenten,glad;glanzend,puntjes;geen ogen,spriet lang,geen bek;mond,10+,met haakjes;lang en dun,geen,afgerond;twee draden,kruipt; loopt; schuilt;,M; P,Philoscia muscorum,Mospissebed,http://images.ncbnaturalis.nl/80x80/194911.jpg,http://images.ncbnaturalis.nl/280x190/195032.jpg
