Dierenzoeker,,,,KENMERK,lijkt op,leefgebied,seizoen,grootte,kleur,patroon,vorm,huid,ogen,spriet,bek,aantal poten,soort poten,vleugels,achterlijf,gedrag,BEGINLETTER,naam SCI,naam NL,thumbnail,illustratie soortpagina
NatuurOmDeHoek,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KENMERKGROEP,,,,,kleur,kleur,lichaam,lichaam,kop,kop,kop,poten,poten,,lichaam,,,hidden,hidden,hidden,hidden
,,,,Eventuele uitleg,Waar lijkt het dier op?,Waar zie je het dier?,Wanneer zie je het dier?,Hoe groot is het dier?,Welke kleuren heeft het dier?,Wat voor patroon heeft het dier?,Welke vorm heeft het dier?,Hoe ziet de huid van het dier eruit?,Wat voor ogen heeft het dier?,Wat zit er op de kop van het dier?,Wat voor bek heeft het dier?,Hoeveel poten heeft het dier?,Hoe zien de poten van het dier eruit?,Wat voor vleugels heeft het dier?,Hoe ziet het achterlijf van het dier eruit?,Wat doet het dier?,,,,,
,,,,Type gegevens,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,STRING,string,string,string,string
,,,,,,,,,,,,,,,,,,,,,,,,,
id,title,,levensfase,gelijkende soorten,,,,,,,,,,,,,,,,,,naam SCI,,,
1,Aalscholver,,,Fuut; Meerkoet; Waterhoen,vogel,op de grond; water; in de lucht,lente; zomer; herfst; winter,groter,zwart; bruin; wit; geel,effen; gestreept; gevlekt,lang,veren,met pupil,kuif; bult; niks,snavel lang; snavel dun,2,nagels; zwemvliezen; plat,met veren; gekleurd,staart lang,zwemt; loopt; zit stil; geluid; schuilt; vliegt,A,Phalacrocorax carbo,Aalscholver,http://images.ncbnaturalis.nl/80x80/194832.jpg,http://images.ncbnaturalis.nl/280x190/194953.jpg
2,Bergeend,,,Wilde eend; Nijlgans; Grauwe gans; Canadese gans,vogel,op de grond; water; in de lucht,lente; zomer; herfst; winter,groter,zwart; wit; groen; bruin; rood; roze,gevlekt,dik,veren,geen pupil,niks; bult,snavel kort; snavel plat,2,nagels; zwemvliezen; plat,met veren; gekleurd,staart kort,zwemt; loopt; zit stil; geluid; vliegt,B; E,Tadorna tadorna,Bergeend,http://images.ncbnaturalis.nl/80x80/194836.jpg,http://images.ncbnaturalis.nl/280x190/194957.jpg
3,Blauwe reiger,,,Ooievaar,vogel,op de grond; water; in de lucht,lente; zomer; herfst; winter,groter,zwart; grijs; wit; geel,effen; gestreept; gevlekt,dun; lang,veren,met pupil,kuif; niks,snavel lang; snavel dun,2,nagels; lang en dun; lange tenen,met veren; gekleurd; gevlekt,staart kort,zit stil; geluid; loopt; schuilt; vliegt,B; R,Ardea cinerea,Blauwe reiger,http://images.ncbnaturalis.nl/80x80/194838.jpg,http://images.ncbnaturalis.nl/280x190/194959.jpg
4,Boomkruiper,,,Winterkoning; Heggenmus,vogel,in boom; in de lucht,lente; zomer; herfst; winter,muis,bruin; beige; wit,gevlekt; gestreept,bolletje,veren,geen pupil,niks,snavel dun; snavel krom; snavel lang,2,nagels; grijppoten,met veren; gekleurd; gevlekt,staart lang,zit stil; geluid; kruipt; vliegt; hangt,B,Certhia brachydactyla,Boomkruiper,http://images.ncbnaturalis.nl/80x80/194842.jpg,http://images.ncbnaturalis.nl/280x190/194963.jpg
