Erynnis marloyi	Zwartbruin dikkopje
Carcharodus alceae	Kaasjeskruiddikkopje
Carcharodus lavatherae	Andoorndikkopje
Carcharodus floccifera	Pluimdikkopje
Carcharodus orientalis	Oostelijk andoorndikkopje
Carcharodus baeticus	Malrovedikkopje
Carcharodus stauderi	Woestijndikkopje
Spialia phlomidis	Groot windedikkopje
Spialia sertorius	Kalkgraslanddikkopje
Spialia orbifer	Oostelijk kalkgraslanddikkopje
Spialia therapne	Corsicaans kalkgraslanddikkopje
Muschampia proto	Klein brandkruiddikkopje
Muschampia tessellum	Groot brandkruiddikkopje
Muschampia cribrellum	Mozaiekdikkopje
Pyrgus carthami	Witgezoomd spikkeldikkopje
Pyrgus sidae	Geelbandspikkeldikkopje
Pyrgus andromedae	Bergspikkeldikkopje
Pyrgus cacaliae	Donker spikkeldikkopje
Pyrgus centaureae	Noords spikkeldikkopje
Pyrgus malvae	Aardbeivlinder
Pyrgus malvoides	Zuidelijke aardbeivlinder
Pyrgus serratulae	Voorjaarsspikkeldikkopje
Pyrgus onopordi	Aambeeldspikkeldikkopje
Pyrgus carlinae	Westelijk spikkeldikkopje
Pyrgus cirsii	Rood spikkeldikkopje
Pyrgus cinarae	Turks spikkeldikkopje
Pyrgus armoricanus	Bretons spikkeldikkopje
Pyrgus alveus	Groot spikkeldikkopje
Pyrgus bellieri	Frans spikkeldikkopje
Pyrgus warrenensis	Alpenspikkeldikkopje
Heteropterus morpheus	Spiegeldikkopje
Carterocephalus palaemon	Bont dikkopje
Carterocephalus silvicola	Geelbont dikkopje
Thymelicus lineola	Zwartsprietdikkopje
Thymelicus sylvestris	Geelsprietdikkopje
Thymelicus acteon	Dwergdikkopje
Thymelicus hyrax	Turks geelsprietdikkopje
Hesperia comma	Kommavlinder
Ochlodes venata	Groot dikkopje
Gegenes pumilio	Klein kustdikkopje
Gegenes nostrodamus	Groot kustdikkopje
Borbo borbonica	Borbodikkopje
Pelopidas thrax	Gierstdikkopje
Zerynthia rumina	Spaanse pijpbloemvlinder
Zerynthia polyxena	Zuidelijke pijpbloemvlinder
Zerynthia cerisy	Oostelijke pijpbloemvlinder
Zerynthia cretica	Kretapijpbloemvlinder
Archon apollinus	Pijpbloemapollo
Parnassius mnemosyne	Zwarte apollovlinder
Parnassius phoebus	Kleine apollovlinder
Parnassius apollo	Apollovlinder
